GeneID	GeneSymbol
56849	TCEAL7
56925	LXN
56940	DUSP22
56954	NIT2
56981	PRDM11
56998	CTNNBIP1
56999	ADAMTS9
57107	PDSS2
57111	RAB25
57142	RTN4
57167	SALL4
57410	SCYL1
57447	NDRG2
57491	AHRR
57509	MTUS1
57510	XPO5
57531	HACE1
57575	PCDH10
57586	SYT13
57599	WDR48
57659	ZBTB4
57727	NCOA5
57758	SCUBE2
57805	CCAR2
57863	CADM3
58189	WFDC1
58508	KMT2C
59269	HIVEP3
60401	EDA2R
60561	RINT1
60674	GAS5
63035	BCORL1
64101	LRRC4
64326	RFWD2
64478	CSMD1
64579	NDST4
64651	CSRNP1
64682	ANAPC1
64753	CCDC136
64866	CDCP1
65009	NDRG4
65268	WNK2
65979	PHACTR4
78986	DUSP26
79026	AHNAK
79192	IRX1
79365	BHLHE41
79577	CDC73
79626	TNFAIP8L2
79633	FAT4
79648	MCPH1
79728	PALB2
79759	ZNF668
79791	FBXO31
79798	ARMC5
79831	KDM8
79893	GGNBP2
79930	DOK3
79961	DENND2D
80012	PHC3
80013	FAM188A
80023	NRSN2
80198	MUS81
80319	CXXC4
81848	SPRY4
83593	RASSF5
83595	SOX7
83719	YPEL3
83742	MARVELD1
83787	ARMC10
83937	RASSF4
83989	FAM172A
84152	PPP1R1B
84260	TCHP
84289	ING5
84295	PHF6
84417	C2orf40
84446	BRSK1
84464	SLX4
84525	HOPX
84632	AFAP1L2
84651	SPINK7
84700	MYO18B
84707	BEX2
84816	RTN4IP1
84872	ZC3H10
84879	MFSD2A
84897	TBRG1
84911	ZNF382
84934	RITA1
85403	EAF1
85480	TSLP
89870	TRIM15
89884	LHX4
90249	UNC5A
90427	BMF
90480	GADD45GIP1
90627	STARD13
90993	CREB3L1
91133	L3MBTL4
91608	RASL10B
91768	CABLES1
92304	SCGB3A1
92335	STRADA
92344	GORAB
92597	MOB1B
93492	TPTE2
94031	HTRA3
94241	TP53INP1
112399	EGLN3
112464	PRKCDBP
114757	CYGB
114826	SMYD4
114907	FBXO32
115426	UHRF2
115761	ARL11
116071	BATF2
116135	LRRC3B
116173	CMTM5
117153	MIA2
117581	TWIST2
121227	LRIG3
122953	JDP2
123879	DCUN1D3
123920	CMTM3
126520	PLK5
127700	OSCP1
130399	ACVR1C
134111	UBE2QL1
135138	PACRG
137075	CLDN23
137970	UNC5D
139285	AMER1
140628	GATA5
140690	CTCFL
144165	PRICKLE1
146691	TOM1L2
148252	DIRAS1
149628	PYHIN1
150094	SIK1
151742	PPM1L
152573	SHISA3
153090	DAB2IP
159989	CCDC67
160492	LMNTD1
160728	SLC5A8
164656	TMPRSS6
167465	ZNF366
170692	ADAMTS18
171023	ASXL1
171024	SYNPO2
196528	ARID2
199731	CADM4
200504	GKN2
201163	FLCN
201501	ZBTB7C
219285	SAMD9L
219333	USP12
219699	UNC5B
220296	HEPACAM
222235	FBXL13
222236	NAPEPLD
253559	CADM2
253738	EBF3
254394	MCM9
255877	BCL6B
257218	SHPRH
259230	SGMS1
283120	H19
283349	RASSF3
283518	KCNRG
284406	ZFP82
285194	TUSC7
285671	RNF180
286319	TUSC1
286826	LIN9
338442	HCAR2
339967	TMPRSS11A
347252	IGFBPL1
347745	PWAR4
373863	DND1
374654	KIF7
378708	APITD1
387496	RASL11A
400410	ST20
401494	HACD4
406881	MIRLET7A1
406882	MIRLET7A2
406883	MIRLET7A3
406884	MIRLET7B
406885	MIRLET7C
406886	MIRLET7D
406887	MIRLET7E
406888	MIRLET7F1
406889	MIRLET7F2
406890	MIRLET7G
406891	MIRLET7I
406892	MIR100
406893	MIR101-1
406894	MIR101-2
406899	MIR106A
406901	MIR107
406902	MIR10A
406904	MIR1-1
406905	MIR1-2
406906	MIR122
406907	MIR124-1
406908	MIR124-2
406909	MIR124-3
406910	MIR125A
406911	MIR125B1
406912	MIR125B2
406913	MIR126
406914	MIR127
406917	MIR129-1
406918	MIR129-2
406919	MIR130A
406921	MIR132
406922	MIR133A1
406923	MIR133A2
406924	MIR134
406925	MIR135A1
406926	MIR135A2
406927	MIR136
406928	MIR137
406929	MIR138-1
406930	MIR138-2
406932	MIR140
406933	MIR141
406934	MIR142
406935	MIR143
406937	MIR145
406938	MIR146A
406939	MIR147A
406940	MIR148A
406941	MIR149
406942	MIR150
406943	MIR152
406947	MIR155
406948	MIR15A
406950	MIR16-1
406951	MIR16-2
406952	MIR17
406953	MIR18A
406954	MIR181A2
406955	MIR181B1
406956	MIR181B2
406957	MIR181C
406958	MIR182
406959	MIR183
406961	MIR185
406962	MIR186
406963	MIR187
406967	MIR192
406968	MIR193A
406969	MIR194-1
406970	MIR194-2
406971	MIR195
406973	MIR196A2
406975	MIR198
406976	MIR199A1
406982	MIR20A
406983	MIR200A
406984	MIR200B
406985	MIR200C
406986	MIR203A
406987	MIR204
406988	MIR205
406989	MIR206
406992	MIR210
406993	MIR211
406995	MIR181A1
406996	MIR214
406997	MIR215
406999	MIR217
407000	MIR218-1
407001	MIR218-2
407002	MIR219A1
407004	MIR22
407007	MIR222
407008	MIR223
407010	MIR23A
407011	MIR23B
407012	MIR24-1
407014	MIR25
407015	MIR26A1
407016	MIR26A2
407017	MIR26B
407018	MIR27A
407019	MIR27B
407020	MIR28
407021	MIR29A
407022	MIR296
407024	MIR29B1
407026	MIR29C
407029	MIR30A
407031	MIR30C1
407035	MIR31
407037	MIR320A
407039	MIR33A
407040	MIR34A
407041	MIR34B
407042	MIR34C
407043	MIR7-1
407044	MIR7-2
407045	MIR7-3
407046	MIR9-1
407047	MIR9-2
407051	MIR9-3
407054	MIR98
407055	MIR99A
414899	BLID
442892	MIR148B
442894	MIR302B
442900	MIR326
442904	MIR335
442906	MIR338
442908	MIR340
442912	MIR367
442915	MIR370
442920	MIR196B
494324	MIR375
494327	MIR378A
494332	MIR383
494334	MIR422A
494336	MIR424
554213	MIR449A
574033	MIR18B
574408	MIR329-1
574411	MIR451A
574413	MIR409
574434	MIR410
574443	MIR490
574445	MIR511
574450	MIR493
574452	MIR494
574453	MIR495
574455	MIR193B
574456	MIR497
574473	MIR520B
574476	MIR520C
574479	MIR517A
574480	MIR519D
574504	MIR502
574506	MIR503
574507	MIR504
574508	MIR505
574513	MIR508
619552	MIR483
619554	MIR486-1
644943	RASSF10
645811	CCDC154
664616	MIR487B
693123	MIR449B
693135	MIR551A
693159	MIR574
693200	MIR615
693221	MIR636
100126299	VTRNA2-1
100126306	MIR888
100126329	MIR941-1
100126333	MIR708
100126337	MIR509-3
100126343	MIR874
100132074	FOXO6
100302145	MIR1247
100302187	MIR1297
100302221	MIR1291
100302232	MIR1226
101927423	PANO1
102800311	TP53COR1
103344718	HOTS
100507098	ADAMTS9-AS2
255082	CASC2
80307	FER1L4
378805	LINC-PINT
401317	LOC401317
326343	MT1DP
100886964	PTCSC3
732253	TDRG1
7503	XIST
441951	ZFAS1
